                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3753,                 11.182,                 4.0985,                      0,                      0,                      0,                      0,                 6.4709,                 8.8362,                 4.2783,             0.00023397,             0.00023397,             0.00023397
                      2,                 3.4455,                 6.3309,                 2.9237,                      0,                      0,                      0,                      0,                 6.3709,                 8.1899,                 4.0945,             0.00046262,             0.00046262,             0.00046262
                      3,                 2.6327,                 4.6457,                 2.1819,                0.52822,                0.19921,                0.18793,                0.09019,                 2.1738,                 6.0306,                 2.0138,             0.00068185,             0.00068185,             0.00068185
                      4,                 2.2358,                  3.684,                 1.8503,                0.25824,                0.38518,                0.22027,                0.08709,                 2.1079,                 4.0209,                  1.925,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.9512,                 3.0842,                 1.6329,                0.50785,                0.34671,                0.27077,                0.11699,                 1.7963,                 3.4803,                 1.7465,             0.00067159,             0.00067159,             0.00067159
                      6,                 1.8909,                 2.7845,                 1.5578,                0.41525,                0.34708,                0.29401,                0.13716,                 1.9787,                 3.2978,                 1.7429,             0.00065745,             0.00065745,             0.00065745
                      7,                 1.7522,                 2.4763,                 1.4443,                0.39772,                0.37663,                0.36738,                0.20769,                 1.5157,                 2.9558,                 1.5112,             0.00064331,             0.00064331,             0.00064331
                      8,                 1.6301,                 2.2492,                 1.3681,                0.37899,                0.49371,                0.39189,                 0.2273,                 1.5135,                 2.6157,                 1.4677,             0.00062918,             0.00062918,             0.00062918
                      9,                 1.5547,                 2.1374,                 1.3365,                0.30354,                0.64935,                0.37303,                0.24919,                 1.3217,                  2.684,                 1.3487,             0.00061504,             0.00061504,             0.00061504
                     10,                 1.4796,                 1.9356,                   1.27,                0.40625,                0.55349,                0.46148,                0.30604,                 1.3021,                 2.2968,                 1.3246,              0.0006009,              0.0006009,              0.0006009
                     11,                 1.4034,                 1.8416,                 1.2523,                0.47608,                0.64409,                0.50974,                0.31686,                 1.3761,                 2.0751,                 1.3391,             0.00058677,             0.00058677,             0.00058677
                     12,                 1.3662,                 1.7362,                 1.2105,                0.63299,                0.56997,                0.54033,                0.34191,                 1.2493,                 2.2099,                 1.3044,             0.00057263,             0.00057263,             0.00057263
                     13,                 1.3332,                 1.6377,                 1.1897,                0.59526,                0.56296,                 0.5455,                0.34685,                 1.3241,                 2.0583,                 1.2752,             0.00055849,             0.00055849,             0.00055849
                     14,                 1.3113,                 1.5743,                 1.1844,                0.61234,                0.63235,                0.58778,                0.40835,                 1.1871,                 1.9213,                 1.2251,             0.00054435,             0.00054435,             0.00054435
                     15,                 1.2688,                 1.4703,                 1.1571,                0.66293,                0.67289,                0.62466,                0.42529,                 1.1914,                  1.714,                 1.2386,             0.00053022,             0.00053022,             0.00053022
                     16,                 1.2509,                 1.4589,                 1.1446,                0.56627,                 0.7126,                0.63517,                0.44346,                 1.2068,                 1.6138,                 1.2414,             0.00051608,             0.00051608,             0.00051608
                     17,                 1.2011,                 1.3438,                 1.1263,                0.69232,                0.66163,                0.64876,                0.47091,                 1.1215,                 1.6167,                 1.2232,             0.00050194,             0.00050194,             0.00050194
                     18,                 1.1857,                 1.3151,                 1.1156,                0.67301,                0.68098,                0.65076,                0.47107,                  1.082,                 1.6124,                 1.1954,              0.0004878,              0.0004878,              0.0004878
                     19,                 1.1669,                 1.2626,                 1.1038,                0.72892,                0.66185,                0.67704,                0.47841,                 1.1275,                 1.4281,                 1.1988,             0.00047367,             0.00047367,             0.00047367
                     20,                 1.1247,                 1.2284,                 1.1022,                   0.65,                0.70136,                 0.6623,                0.47583,                 1.0932,                 1.5021,                 1.2001,             0.00045953,             0.00045953,             0.00045953
                     21,                 1.1457,                 1.1956,                 1.0958,                0.70378,                0.73824,                0.69723,                0.49826,                 1.1049,                 1.4335,                 1.1934,             0.00044539,             0.00044539,             0.00044539
                     22,                  1.109,                 1.1961,                 1.0777,                0.69098,                 0.7098,                0.68465,                0.48873,                  1.124,                 1.4442,                 1.1934,             0.00043126,             0.00043126,             0.00043126
                     23,                 1.0728,                 1.1329,                 1.0568,                0.78189,                 0.7062,                0.70286,                0.53896,                  0.989,                 1.2744,                 1.1377,             0.00041712,             0.00041712,             0.00041712
                     24,                 1.0369,                 1.0843,                 1.0387,                 0.6896,                0.72525,                0.70044,                0.50415,                 1.1071,                 1.3444,                 1.1801,             0.00040298,             0.00040298,             0.00040298
                     25,                 1.0449,                 1.1043,                 1.0509,                0.79047,                0.70261,                0.71493,                0.53465,                 1.0301,                 1.3623,                 1.1514,             0.00038884,             0.00038884,             0.00038884
                     26,                 1.0318,                 1.0668,                 1.0427,                0.72638,                0.76626,                0.72783,                0.55268,                0.97677,                 1.2865,                 1.1283,             0.00037471,             0.00037471,             0.00037471
                     27,                0.97871,                 1.0111,                 1.0197,                0.74151,                0.77638,                0.74558,                0.57435,                0.93353,                 1.3527,                  1.113,             0.00036057,             0.00036057,             0.00036057
                     28,                 1.0026,                 1.0094,                  1.027,                0.80439,                0.74677,                0.74384,                0.56247,                0.95123,                  1.221,                 1.1162,             0.00034643,             0.00034643,             0.00034643
                     29,                 0.9925,                0.98809,                 1.0153,                0.72875,                0.78827,                0.73366,                 0.5546,                 1.0108,                 1.2125,                 1.1347,              0.0003323,              0.0003323,              0.0003323
                     30,                0.97708,                 0.9475,                 1.0135,                0.80395,                0.75615,                0.76912,                0.59777,                0.94107,                 1.1549,                  1.122,             0.00031816,             0.00031816,             0.00031816
                     31,                0.96632,                0.94501,                 1.0183,                 0.7927,                 0.7821,                0.77007,                0.59614,                0.90153,                 1.1707,                 1.1055,             0.00030402,             0.00030402,             0.00030402
